"ORDER_ID","STATUS_NAME","PRODUCT_NAME","CREATION_DATE","STATUS_CHANGE_DATE","IS_TEST_ORDER"
26,CREATED,.ONLINE,"2023-05-18","2023-05-18",false
26,CONFIRMED,.ONLINE,"2023-05-18","2023-05-26",false
220,CREATED,MWP,"2022-06-06","2022-06-06",false
220,IN_PROGRESS,MWP,"2022-06-06","2022-06-12",false
220,CANCELLED,MWP,"2022-06-06","2022-06-13",false
238,CREATED,DSL,"2022-08-10","2022-08-10",false
238,IN_PROGRESS,DSL,"2022-08-10","2022-08-16",false
238,CONFIRMED,DSL,"2022-08-10","2022-08-20",false
312,CREATED,CLASSIC_HOSTING,"2023-06-09","2023-06-09",false
312,CONFIRMED,CLASSIC_HOSTING,"2023-06-09","2023-06-16",false
317,CREATED,CLASSIC_HOSTING,"2023-05-15","2023-05-15",false
317,CANCELLED,CLASSIC_HOSTING,"2023-05-15","2023-05-21",false
418,CREATED,GLASS_FIBER,"2023-02-16","2023-02-16",false
418,CONFIRMED,GLASS_FIBER,"2023-02-16","2023-02-24",false
459,CREATED,.ONLINE,"2023-02-08","2023-02-08",false
459,CONFIRMED,.ONLINE,"2023-02-08","2023-02-14",false
518,CREATED,GLASS_FIBER,"2023-04-17","2023-04-17",false
518,CONFIRMED,GLASS_FIBER,"2023-04-17","2023-04-18",false
670,CREATED,MWP,"2022-02-15","2022-02-15",false
670,CANCELLED,MWP,"2022-02-15","2022-02-19",false
751,CREATED,CLASSIC_HOSTING,"2023-05-21","2023-05-21",false
751,IN_PROGRESS,CLASSIC_HOSTING,"2023-05-21","2023-05-27",false
751,CONFIRMED,CLASSIC_HOSTING,"2023-05-21","2023-05-30",false
1039,CREATED,.ONLINE,"2023-03-19","2023-03-19",false
1039,CONFIRMED,.ONLINE,"2023-03-19","2023-03-22",false
1127,CREATED,DSL,"2022-02-14","2022-02-14",false
1127,CANCELLED,DSL,"2022-02-14","2022-02-24",false
1162,CREATED,.COM,"2022-02-24","2022-02-24",false
1162,CANCELLED,.COM,"2022-02-24","2022-02-28",false
1340,CREATED,.INFO,"2023-01-16","2023-01-16",false
1340,CANCELLED,.INFO,"2023-01-16","2023-01-22",false
1882,CREATED,CLASSIC_HOSTING,"2023-02-19","2023-02-19",false
1882,CONFIRMED,CLASSIC_HOSTING,"2023-02-19","2023-02-26",false
2028,CREATED,CLASSIC_HOSTING,"2023-01-20","2023-01-20",false
2028,CANCELLED,CLASSIC_HOSTING,"2023-01-20","2023-01-29",false
2039,CREATED,.ONLINE,"2023-07-29","2023-07-29",false
2039,CONFIRMED,.ONLINE,"2023-07-29","2023-08-02",false
2069,CREATED,MWP,"2022-10-17","2022-10-17",false
2127,CREATED,DSL,"2022-01-24","2022-01-24",false
2127,CANCELLED,DSL,"2022-01-24","2022-01-31",false
2183,CREATED,.COM,"2022-11-20","2022-11-20",false
2183,CONFIRMED,.COM,"2022-11-20","2022-11-24",false
2245,CREATED,DSL,"2022-06-24","2022-06-24",false
2245,CANCELLED,DSL,"2022-06-24","2022-07-03",false
2263,CREATED,.COM,"2022-05-06","2022-05-06",false
2269,CREATED,.COM,"2022-02-03","2022-02-03",false
2365,CREATED,GLASS_FIBER,"2023-03-13","2023-03-13",false
2365,IN_PROGRESS,GLASS_FIBER,"2023-03-13","2023-03-16",false
2382,CREATED,.COM,"2022-05-24","2022-05-24",false
2382,CANCELLED,.COM,"2022-05-24","2022-05-29",false
2390,CREATED,GLASS_FIBER,"2023-06-12","2023-06-12",false
2390,CANCELLED,GLASS_FIBER,"2023-06-12","2023-06-21",false
2455,CREATED,.INFO,"2023-09-12","2023-09-12",false
